date,stock_code,price,amount,volume,per,eps
20240612,012750,59400,2257151173200,99709,11.91335740072202,4986.0
20240612,014680,176000,1994994320000,104408,18.93694856896923,9294.0
20240612,014820,48950,1419123253900,126704,22.3006833712984,2195.0
20240612,015760,19830,12730147646910,1277670,-2.639776357827476,-7512.0
20240612,016360,36000,3214800000000,368698,5.872756933115824,6130.0
20240612,017670,51300,11018729718900,374966,10.26615969581749,4997.0
20240612,017800,41000,1602787785000,87690,5.104581673306773,8032.0
20240612,018260,154800,11978083440000,73553,17.2729301495202,8962.0
20240612,018290,35000,1252930245000,1648540,45.10309278350515,776.0
20240612,018670,173600,1602370358400,10611,5.066098578807599,34267.0
20240612,018880,4805,2564909000000,3433707,50.05208333333334,96.0
20240612,020150,56300,2596040010500,975597,-79.74504249291785,-706.0
20240612,021240,55500,4095878854500,77866,8.690886313811463,6386.0
20240612,022100,41050,6241025625450,1407722,67.9635761589404,604.0
20240612,023530,65200,1844426826000,47187,10.57583130575831,6165.0
20240612,024110,13380,10669558127220,724526,3.996415770609319,3348.0
20240612,026960,19650,1959105000000,72442,13.5237439779766,1453.0
20240612,028050,23000,4508000000000,583678,5.980239209568383,3846.0
20240612,028260,135500,24089746498500,250342,11.45974289580514,11824.0
20240612,028300,60600,7929229058400,1618488,-41.36518771331058,-1465.0
20240612,028670,4080,2181043608960,1610105,8.908296943231441,458.0
20240612,029780,38850,4501117915350,33982,7.385931558935361,5260.0
20240612,030000,18350,2111006478750,208002,11.27149877149877,1628.0
20240612,030200,36800,9274398008000,514967,9.467455621301776,3887.0
20240612,031980,77000,1660304415000,371991,38.88888888888889,1980.0
20240612,032640,9740,4252594656140,551674,6.830294530154278,1426.0
20240612,032830,84900,16980000000000,163854,8.958531180753402,9477.0
20240612,033100,68400,1098668775600,1147487,19.48717948717949,3510.0
20240612,033780,86500,11272895990500,126821,13.07634164777022,6615.0
20240612,034020,20000,12811222920000,13075043,229.8850574712644,87.0
20240612,034220,10350,5175000000000,1454474,-1.442106729831406,-7177.0
20240612,034230,13990,1283885005770,159753,20.51319648093842,682.0
20240612,034730,188300,13783245350700,669143,-17.94016768292683,-10496.0
20240612,035250,14630,3129949515000,694698,9.183929692404268,1593.0
20240612,035420,168400,27349607229600,977784,27.24919093851133,6180.0
20240612,035720,43050,19088166804000,1047526,-18.91476274165202,-2276.0
20240612,035760,85500,1874942667000,45645,-5.93543908365151,-14405.0
20240612,035900,57900,2057331286800,416026,19.48838774823292,2971.0
20240612,036460,45800,4227935400000,12062387,-5.554208100897405,-8246.0
20240612,036570,185900,4081252689800,85404,19.23833178102039,9663.0
20240612,036830,77000,1614232312000,976727,17.73376324274528,4342.0
20240612,036930,36050,1739384092600,1717401,51.13475177304964,705.0
20240612,039030,193000,2377673150000,150271,64.91759165825765,2973.0
20240612,039200,33400,1268998431000,397677,-52.35109717868338,-638.0
20240612,039490,126900,3239338991400,29518,8.448172558418214,15021.0
20240612,041510,81400,1920187090800,206323,22.21615720524018,3664.0
20240612,042660,31900,9772848878100,2242575,40.12578616352202,795.0
20240612,042670,7900,1576867278700,1340689,6.833910034602076,1156.0
20240612,042700,173900,16867192952600,4537953,63.35154826958106,2745.0
20240612,047040,3620,1504553949560,621219,2.940698619008936,1231.0
20240612,047050,54700,9622976503600,3964952,14.26708398539384,3834.0
20240612,047810,51200,4990725478400,249291,22.28024369016536,2298.0
20240612,051600,36650,1649250000000,83337,10.13831258644537,3615.0
20240612,051900,403500,6301942489500,70406,50.08067518927641,8057.0
20240612,051910,371500,26225055424500,234425,21.73785839672323,17090.0
20240612,051915,261000,2006776800000,13144,,
20240612,052690,69600,2660112000000,58799,81.49882903981265,854.0
20240612,055550,47800,24348995629200,1580910,5.691831388425816,8398.0
20240612,056190,29000,1041354040000,134620,26.05570530098832,1113.0
20240612,058470,265000,4039228050000,286780,36.41610553799643,7277.0
20240612,064350,37500,4092835987500,564596,25.42372881355932,1475.0
20240612,064760,133200,1555110000000,108422,25.39077392298895,5246.0
20240612,065350,67900,1866160069200,222025,148.9035087719298,456.0
20240612,066570,100600,16462970088400,1143396,25.52004058853374,3942.0
20240612,066970,165800,6017667560400,250267,-30.86373790022338,-5372.0
20240612,067160,111600,1282815997200,47594,17.19833564493759,6489.0
20240612,067310,22400,1168596240000,815890,-79.43262411347517,-282.0
20240612,068270,187600,40707928634800,919072,51.55262434734817,3639.0
20240612,068760,95200,3960001365600,294634,185.9375,512.0
20240612,069620,104300,1208479772500,31637,9.926715522984678,10507.0
20240612,069960,50300,1177142782300,38160,-14.75506013493693,-3409.0
20240612,071050,66400,3700205868800,67741,5.783972125435541,11480.0
20240612,073240,6900,1982095980300,500670,12.56830601092896,549.0
20240612,078600,160000,2476894880000,1515428,3555.555555555556,45.0
20240612,078930,43300,4023235867400,57074,3.152759574777924,13734.0
20240612,079550,172300,3790600000000,128161,21.66478058594241,7953.0
20240612,081660,39350,2390599935700,32803,56.13409415121255,701.0
20240612,082740,13300,1109846988600,1045290,-2216.666666666667,-6.0
20240612,084370,51600,1182467767200,166987,48.40525328330207,1066.0
20240612,086280,181000,6787500000000,71902,6.396437784924197,28297.0
20240612,086520,101300,13486913842000,965244,264.4908616187989,383.0
20240612,086790,60300,17629102859400,315265,5.192456729527254,11613.0
20240612,088350,2740,2379772200000,760906,3.138602520045819,873.0
20240612,088980,12610,5495202886550,959331,,
20240612,089030,44050,1645428062250,588482,-176.9076305220883,-249.0
20240612,089860,27850,1020258654550,25279,8.50381679389313,3275.0
20240612,090430,191700,11213061900300,482692,73.50460122699387,2608.0
20240612,095340,71500,1515589647000,115683,99.16782246879335,721.0
20240612,096530,20650,1078466776100,110496,1588.461538461539,13.0
20240612,096770,104200,9975648478000,376204,39.38019652305366,2646.0
20240612,097950,374500,5637792657000,58646,15.89626045248101,23559.0
20240612,103140,58300,1633815407400,346783,10.4442852024364,5582.0
20240612,103590,24150,1151602168500,1270693,27.25733634311512,886.0
20240612,105560,79100,31917725795200,694678,6.914335664335664,11440.0
20240612,108320,70500,1146633150000,63335,11.33076181292189,6222.0
20240612,111770,34300,1519883352400,218711,2.945723119203023,11644.0
20240612,112040,40300,1368123864900,231460,-6.815491290377135,-5913.0
20240612,112610,49100,2070615887300,238574,104.2462845010616,471.0
20240612,120110,40300,1109019367300,59595,28.54107648725212,1412.0
20240612,121600,138600,1690376410800,503662,101.0940919037199,1371.0
20240612,128940,284000,3638321444000,24010,24.87954445904512,11415.0
20240612,137310,9800,1219878059400,81254,-2.367721671901426,-4139.0
20240612,137400,80900,1839762918200,990009,28.8002847988608,2809.0
20240612,138040,74200,14151432458800,224743,7.088269010317157,10468.0
20240612,138930,8120,2615358116560,508268,4.117647058823529,1972.0
20240612,139130,7900,1336252080700,506183,3.445268207588312,2293.0
20240612,139480,58500,1630735411500,221534,-18.30413016270338,-3196.0
20240612,140410,42000,1249694334000,92705,-93.33333333333333,-450.0
20240612,140860,173400,1209613950600,27242,49.12181303116147,3530.0
20240612,141080,67300,2460982520400,255898,-25.55049354593774,-2634.0
20240612,145020,238500,2865313242000,166820,31.72808301183983,7517.0
20240612,145720,109000,1206502470000,70080,12.5,8720.0
20240612,161390,45000,5574378105000,315904,7.739938080495356,5814.0
20240612,161890,67200,1586261174400,784714,296.0352422907489,227.0
20240612,166090,52900,1046238954600,126166,30.56036972848065,1731.0
20240612,175330,13660,2664836484680,141848,4.591596638655462,2975.0
20240612,178320,29350,1634866115050,713482,-48.91666666666666,-600.0
20240612,180640,73000,4873646367000,103027,12.75554778962083,5723.0
20240612,185750,101000,1330616420000,52278,6.261236129192238,16131.0
20240612,192820,170100,1930551480900,256438,33.79022646007152,5034.0
20240612,195940,35700,1011377108700,129510,21.49307645996388,1661.0
20240612,196170,276000,14668993728000,1383564,-4312.5,-64.0
20240612,204270,19330,1118210847780,1438569,62.96416938110749,307.0
20240612,204320,47500,2230463200000,461015,16.45306546588154,2887.0
20240612,207940,742000,52811108000000,59766,61.57165380466351,12051.0
