stock_code,name,market_type,region
003570,SNT다이내믹스,KOSPI,Korea
003580,HLB글로벌,KOSPI,Korea
003610,방림,KOSPI,Korea
003620,KG모빌리티,KOSPI,Korea
003650,미창석유,KOSPI,Korea
003670,포스코퓨처엠,KOSPI,Korea
003680,한성기업,KOSPI,Korea
003690,코리안리,KOSPI,Korea
003720,삼영,KOSPI,Korea
003780,진양산업,KOSPI,Korea
003800,에이스침대,KOSDAQ,Korea
003830,대한화섬,KOSPI,Korea
003850,보령,KOSPI,Korea
003920,남양유업,KOSPI,Korea
003960,사조대림,KOSPI,Korea
004000,롯데정밀화학,KOSPI,Korea
004020,현대제철,KOSPI,Korea
004060,SG세계물산,KOSPI,Korea
004080,신흥,KOSPI,Korea
004090,한국석유,KOSPI,Korea
004100,태양금속,KOSPI,Korea
004140,동방,KOSPI,Korea
004150,한솔홀딩스,KOSPI,Korea
004170,신세계,KOSPI,Korea
004250,NPC,KOSPI,Korea
004270,남성,KOSPI,Korea
004310,현대약품,KOSPI,Korea
004360,세방,KOSPI,Korea
004370,농심,KOSPI,Korea
004380,삼익THK,KOSPI,Korea
004410,서울식품,KOSPI,Korea
004430,송원산업,KOSPI,Korea
004440,삼일씨엔에스,KOSPI,Korea
004450,삼화왕관,KOSPI,Korea
004490,세방전지,KOSPI,Korea
004540,깨끗한나라,KOSPI,Korea
004560,현대비앤지스틸,KOSPI,Korea
004590,한국가구,KOSDAQ,Korea
004650,창해에탄올,KOSDAQ,Korea
004690,삼천리,KOSPI,Korea
004700,조광피혁,KOSPI,Korea
004710,한솔테크닉스,KOSPI,Korea
004720,팜젠사이언스,KOSPI,Korea
004770,써니전자,KOSPI,Korea
004780,대륙제관,KOSDAQ,Korea
004800,효성,KOSPI,Korea
004830,덕성,KOSPI,Korea
004840,DRB동일,KOSPI,Korea
004870,티웨이홀딩스,KOSPI,Korea
004890,동일산업,KOSPI,Korea
004910,조광페인트,KOSPI,Korea
004920,씨아이테크,KOSPI,Korea
004960,한신공영,KOSPI,Korea
004970,신라교역,KOSPI,Korea
004980,성신양회,KOSPI,Korea
004990,롯데지주,KOSPI,Korea
005010,휴스틸,KOSPI,Korea
005030,부산주공,KOSPI,Korea
005070,코스모신소재,KOSPI,Korea
005090,SGC에너지,KOSPI,Korea
005110,한창,KOSPI,Korea
005160,동국산업,KOSDAQ,Korea
005180,빙그레,KOSPI,Korea
005250,녹십자홀딩스,KOSPI,Korea
005290,동진쎄미켐,KOSDAQ,Korea
005300,롯데칠성,KOSPI,Korea
005320,국동,KOSPI,Korea
005360,모나미,KOSPI,Korea
005380,현대차,KOSPI,Korea
005385,현대차우,KOSPI,Korea
005387,현대차2우B,KOSPI,Korea
005390,신성통상,KOSPI,Korea
005420,코스모화학,KOSPI,Korea
005430,한국공항,KOSPI,Korea
005440,현대지에프홀딩스,KOSPI,Korea
005490,POSCO홀딩스,KOSPI,Korea
005500,삼진제약,KOSPI,Korea
005610,SPC삼립,KOSPI,Korea
005670,푸드웰,KOSDAQ,Korea
005680,삼영전자,KOSPI,Korea
005690,파미셀,KOSPI,Korea
005710,대원산업,KOSDAQ,Korea
005720,넥센,KOSPI,Korea
